cycle,instructions,LLC-load-misses,hostname
323554339,125460261,174625,kb-w43
779491319,835155989,822324,kb-w43
398586296,218033511,195224,kb-w43
898025837,923217428,206638,kb-w43
302036018,220162889,138523,kb-w43
434916402,398314166,81066,kb-w43
340726894,461833811,74211,kb-w43
507425874,595097343,120271,kb-w43
290422354,144750434,127160,kb-w43
602812855,470127445,184330,kb-w43
353386068,338390341,87554,kb-w43
713411593,590433629,153879,kb-w43
372007029,206030808,119103,kb-w43
420959967,471157670,185324,kb-w43
334580500,284062323,84235,kb-w43
566165157,442815661,306810,kb-w43
355884708,381373379,91945,kb-w43
981912519,309277035,352812,kb-w43
382186543,152495349,124784,kb-w43
651261449,501104951,188891,kb-w43
335248685,165100045,154822,kb-w43
689604822,631246941,112592,kb-w43
217230913,261474460,76895,kb-w43
739410825,287726777,201197,kb-w43
369879497,339730318,108695,kb-w43
590737243,296992935,230095,kb-w43
337579560,291913267,81795,kb-w43
466875190,255684014,374881,kb-w43
296448508,214340841,71559,kb-w43
771237632,594717040,1203434,kb-w43
428067998,200367731,81507,kb-w43
519294875,278440570,253104,kb-w43
336355157,341509291,120555,kb-w43
429459963,277063838,144314,kb-w43
252099846,293204204,108166,kb-w43
439128272,229849764,220430,kb-w43
381033744,345212243,121460,kb-w43
683016966,734782008,113950,kb-w43
336002730,411019204,115045,kb-w43
584404584,565578924,267501,kb-w43
385766446,374017652,112880,kb-w43
628033205,441495095,224081,kb-w43
387065702,331221092,93472,kb-w43
760929902,504650121,246429,kb-w43
371933067,167690574,127546,kb-w43
627320182,573759125,232030,kb-w43
290440610,196930358,145230,kb-w43
723005232,736333989,186565,kb-w43
395755643,367621849,110314,kb-w43
481618292,459007302,228237,kb-w43
244761608,115275507,197287,kb-w43
565148607,309972286,124946,kb-w43
352743979,226604642,139159,kb-w43
756893529,675609296,213423,kb-w43
218321065,116200600,170794,kb-w43
682590949,657703264,612551,kb-w43
429891955,427195231,125894,kb-w43
805225778,584755348,445344,kb-w43
323946975,346110082,90161,kb-w43
513983110,255034165,488076,kb-w43
