cycle,instructions,LLC-load-misses,hostname
737080806,185999410,1704281,kb-w23
596273461,147579230,1911223,kb-w23
2209537333,1138766527,3187090,kb-w23
622603077,201173612,1557188,kb-w23
1065096911,763183578,1357986,kb-w23
644889070,563232909,1585068,kb-w23
1275058301,246401313,1412479,kb-w23
1131542821,574554198,2448547,kb-w23
1028827778,1064410515,2150720,kb-w23
2416749148,1067312081,6289642,kb-w23
5560153011,2522295347,10669167,kb-w23
5362610370,3882376342,9515986,kb-w23
1273671060,509895912,2868131,kb-w23
8151831613,2616328345,8595784,kb-w23
4573578370,2922262507,8475383,kb-w23
2759150039,2277374263,7890917,kb-w23
3922464128,2707923392,6114444,kb-w23
4998643455,2551291651,12295834,kb-w23
2867463107,1696239289,6236186,kb-w23
3255511801,1245644586,6277742,kb-w23
2809144654,731836392,4733856,kb-w23
5662842753,2926115003,7446271,kb-w23
2829322559,1778051478,3723753,kb-w23
4415585268,7609270805,3915464,kb-w23
3774652325,1757467039,6094416,kb-w23
1984504796,1454363867,3076481,kb-w23
485486353,114203465,1389793,kb-w23
3813470208,1345300078,3432902,kb-w23
1557021586,930682497,2818302,kb-w23
456727198,86762992,1370808,kb-w23
916011345,694185408,1700355,kb-w23
996869815,805594669,5557321,kb-w23
2782183778,2175996107,7523853,kb-w23
6258384245,2572388809,4565338,kb-w23
4732292617,671182594,2292957,kb-w23
2476095799,1377060416,2553484,kb-w23
1116475898,419723867,2288630,kb-w23
816905704,340464223,1972081,kb-w23
1542711435,794405963,3061860,kb-w23
2170000186,1369663823,3268105,kb-w23
1003082823,480821736,1511714,kb-w23
841591618,375022490,2047443,kb-w23
3199628416,2359218685,3341569,kb-w23
2493275946,1238659780,1968368,kb-w23
1859556145,809114928,2243867,kb-w23
1290036691,684932989,964664,kb-w23
1011383059,399598905,1568584,kb-w23
744725132,210401131,1449090,kb-w23
1590537888,1280807587,1474748,kb-w23
708594558,132289479,1997369,kb-w23
975003157,162135218,1291976,kb-w23
625651739,102436730,1478013,kb-w23
486375287,79221125,1400861,kb-w23
457440202,133413945,1523084,kb-w23
576918019,114354456,1374618,kb-w23
519241643,117102476,1732588,kb-w23
1709874608,978552557,1261165,kb-w23
725149009,70571039,1431741,kb-w23
445325344,65903941,1190396,kb-w23
835038073,438747038,1881145,kb-w23
