cycle,instructions,LLC-load-misses,hostname
669108659,227833182,2095840,kb-w24
12088050005,10973541391,12948333,kb-w24
3950853862,2282699606,6866071,kb-w24
2106857133,927092491,2332278,kb-w24
5258993714,5509096464,1084193,kb-w24
5629273105,6175847058,1673105,kb-w24
17584962368,11139305796,20417106,kb-w24
1871749209,970448005,4904837,kb-w24
9422383488,5236892641,8877291,kb-w24
3294447701,1509194289,5021415,kb-w24
7306918789,13167218262,1680976,kb-w24
4366607407,2788208964,8528234,kb-w24
11867861928,9070636912,15936352,kb-w24
3932466523,4053508947,8056025,kb-w24
555517473,180012032,1569283,kb-w24
8087459066,4658176447,7505826,kb-w24
6801471286,12084648258,4393070,kb-w24
7322642061,7471540980,5803645,kb-w24
669194727,133990045,1180120,kb-w24
8170617665,4821932364,10709389,kb-w24
20201532928,13387547277,17520105,kb-w24
6299463051,6212298437,7540088,kb-w24
12102553155,17893306550,1141252,kb-w24
1348938015,435064298,2348451,kb-w24
2522380599,1150740972,3866357,kb-w24
8036294272,5236307177,6981279,kb-w24
758122059,175507191,3878158,kb-w24
2160277515,1772766104,2661933,kb-w24
2062562120,1409021899,2572569,kb-w24
7746913350,14615523332,1921715,kb-w24
10586201854,15959219540,1979089,kb-w24
11049627275,4908745527,12785318,kb-w24
4118732546,2166551234,6910261,kb-w24
13734267715,8249120569,17965508,kb-w24
1840097232,433668327,3972445,kb-w24
7418089040,4951307916,7659004,kb-w24
12102090301,21674945753,5524182,kb-w24
15209425686,25087572168,2081346,kb-w24
21473637002,33143108659,2202024,kb-w24
17303471640,26472385137,1642768,kb-w24
12453837104,11674935145,8519960,kb-w24
13768520754,8119095971,14243531,kb-w24
1319881052,634104128,2570541,kb-w24
11747361218,8936258576,10738135,kb-w24
11892165627,6274841592,8598892,kb-w24
882076598,1240295970,4680758,kb-w24
1076833365,226401226,2286639,kb-w24
8288192878,5549588246,7833525,kb-w24
4804334574,4750194852,9451529,kb-w24
3178654587,2414480587,8000027,kb-w24
7635166351,5162090965,11640325,kb-w24
14422360141,7994448318,16855484,kb-w24
1766542691,547909759,2188161,kb-w24
11759078347,8548264725,10725697,kb-w24
4994618450,1494985762,6723900,kb-w24
1050544510,571911582,2522932,kb-w24
765382465,318121874,1314635,kb-w24
927167391,374841054,2108321,kb-w24
17823632731,10222379583,15770622,kb-w24
633926116,289084949,2798971,kb-w24
