cycle,instructions,LLC-load-misses,hostname
501840718,188667430,251148,kb-w11
638831895,643226350,159240,kb-w11
431300697,439893598,206056,kb-w11
490518918,238030095,413853,kb-w11
440811383,228130560,127254,kb-w11
393041976,184309460,261941,kb-w11
324959585,169051832,126221,kb-w11
456016530,306044927,170049,kb-w11
372574150,178307852,207151,kb-w11
489051324,504099506,85503,kb-w11
267078243,168291105,225960,kb-w11
1068417885,568798623,412359,kb-w11
673091524,480574836,322216,kb-w11
1014250883,816192600,330344,kb-w11
491037277,262178392,156363,kb-w11
512198993,346974946,294478,kb-w11
414407698,191826593,319422,kb-w11
516408817,495729929,168266,kb-w11
411305197,306306117,143879,kb-w11
420435246,214668902,193149,kb-w11
431831750,211761201,250921,kb-w11
495250531,384446325,632263,kb-w11
356259263,245789417,130805,kb-w11
844719810,738613270,1559406,kb-w11
680023994,362109760,303568,kb-w11
918351785,902593935,249862,kb-w11
322562125,238900635,228753,kb-w11
656162205,551056374,234710,kb-w11
337477979,221529640,164133,kb-w11
553810963,394805280,187812,kb-w11
512148799,261822840,263839,kb-w11
455219430,261002897,306706,kb-w11
425140331,302911366,183101,kb-w11
650426656,389111537,206161,kb-w11
470655439,398157067,207700,kb-w11
901345885,698481494,1514672,kb-w11
508400889,376239345,188087,kb-w11
1175419224,653380314,1778521,kb-w11
707346875,485984023,590356,kb-w11
525940884,275242447,191829,kb-w11
322860298,132744527,156816,kb-w11
588749460,655780661,56804,kb-w11
247745894,136046472,161039,kb-w11
501725195,418986021,266660,kb-w11
369926330,154354289,177246,kb-w11
723789244,713597570,147819,kb-w11
472198960,286900247,202111,kb-w11
722629804,411270561,278834,kb-w11
659439992,488529982,193265,kb-w11
860691320,672775671,766059,kb-w11
604812682,544256171,283229,kb-w11
859746082,491514146,263372,kb-w11
451579455,252359024,223322,kb-w11
598415399,502713134,195223,kb-w11
442732901,253172690,239825,kb-w11
473851575,311884427,176934,kb-w11
353318199,188284573,182720,kb-w11
609756666,719853940,123646,kb-w11
359699829,358925394,117009,kb-w11
950443967,1021890433,243424,kb-w11
