cycle,instructions,LLC-load-misses,hostname
663892593,378738750,427652,kb-w13
308624248,171748454,137184,kb-w13
570257523,239576660,304213,kb-w13
299625001,148885565,129351,kb-w13
381757861,405095645,56653,kb-w13
388199655,223735105,197837,kb-w13
428896183,473714999,76946,kb-w13
282726177,120601745,166699,kb-w13
615420332,459829716,198228,kb-w13
332354648,285708181,160465,kb-w13
339155538,272000075,119510,kb-w13
373445270,293011031,104863,kb-w13
654214542,324590374,316546,kb-w13
263912843,206426568,100135,kb-w13
441922204,294064087,191240,kb-w13
344863192,272198393,67809,kb-w13
631570828,883394756,210182,kb-w13
437199936,275458983,129346,kb-w13
492976601,240056285,327955,kb-w13
385074349,223019146,186699,kb-w13
485153627,343558301,49175,kb-w13
324492407,365699426,134060,kb-w13
575002677,646696055,112603,kb-w13
317878697,153857737,168582,kb-w13
401818197,252830845,191128,kb-w13
300348010,203724267,185084,kb-w13
308725990,175285860,142375,kb-w13
308604980,159469144,159645,kb-w13
501132957,402731013,229788,kb-w13
344592110,241070487,178154,kb-w13
511906704,337267234,232454,kb-w13
357135434,242053978,110746,kb-w13
550225487,307220211,418112,kb-w13
484998967,178229508,211908,kb-w13
988063876,892088213,3798276,kb-w13
351744829,173419104,169806,kb-w13
513380550,510386538,75605,kb-w13
201308747,144686354,168646,kb-w13
542456014,670811075,71251,kb-w13
299085932,162212552,138055,kb-w13
415018778,288622192,202599,kb-w13
312914625,422319338,108733,kb-w13
551730106,504187915,192962,kb-w13
329936952,178415155,188224,kb-w13
522814419,295765457,229639,kb-w13
377898228,474887495,543865,kb-w13
492472543,389290660,270811,kb-w13
674173454,674159088,168377,kb-w13
524453418,671131683,248257,kb-w13
242489145,215082398,211991,kb-w13
436969106,238278686,190461,kb-w13
320265514,291747901,139596,kb-w13
561109429,306700706,76191,kb-w13
268902328,118991315,187802,kb-w13
646200399,491572563,51842,kb-w13
364023382,313071405,177728,kb-w13
543615387,587655256,176827,kb-w13
444149888,251160856,167033,kb-w13
392251621,289892921,186819,kb-w13
631490828,625957358,1806168,kb-w13
