cycle,instructions,LLC-load-misses,hostname
427770860,273286376,135690,kb-w32
505305195,448106028,223745,kb-w32
551959748,529380733,94397,kb-w32
413609709,460399493,68246,kb-w32
568612989,664277627,107630,kb-w32
433766018,321612996,227853,kb-w32
537590306,491570711,140670,kb-w32
308799135,180322368,95580,kb-w32
811464805,996898375,240848,kb-w32
426710841,377910557,196473,kb-w32
832298860,950968636,71585,kb-w32
473562875,503701857,127311,kb-w32
706445544,672951116,82640,kb-w32
327349329,301268466,104228,kb-w32
463977802,456765494,132078,kb-w32
681091718,621553513,1206341,kb-w32
1029666554,952017536,1521829,kb-w32
590214017,424956875,487218,kb-w32
575696271,489057529,278546,kb-w32
241859403,202854107,116637,kb-w32
832323827,937110359,629630,kb-w32
480265085,455689069,164602,kb-w32
743957551,883132513,135426,kb-w32
203194395,112917611,109694,kb-w32
814684539,771604072,251109,kb-w32
257092314,232195461,76764,kb-w32
471002493,335079223,117393,kb-w32
421322452,339297023,149790,kb-w32
553439582,477865588,181451,kb-w32
413334114,438759953,167827,kb-w32
539920224,412498161,217276,kb-w32
523830398,536993313,79679,kb-w32
966479291,872508768,271150,kb-w32
255610294,172275029,72984,kb-w32
649506236,794604835,206495,kb-w32
216932911,132399750,118321,kb-w32
700744816,824374277,117476,kb-w32
477644234,441044096,151546,kb-w32
663415574,628681797,223769,kb-w32
379213035,293464876,116702,kb-w32
604764573,628903770,82578,kb-w32
463325944,297446140,89082,kb-w32
275045972,127543097,104877,kb-w32
342116860,231509155,143486,kb-w32
496363162,483277717,195173,kb-w32
374044448,281337600,190870,kb-w32
290823421,172112974,113134,kb-w32
419634009,336362620,157739,kb-w32
728677243,847974021,280572,kb-w32
276651522,345418493,95058,kb-w32
500487303,575882690,119858,kb-w32
437779355,362168864,98291,kb-w32
441263341,369133845,140717,kb-w32
241418579,157554931,93848,kb-w32
386173904,244927124,98586,kb-w32
619429624,485431986,451630,kb-w32
482315251,399502900,221671,kb-w32
376688036,244031901,118692,kb-w32
466984810,331645923,118940,kb-w32
268888895,301482024,144666,kb-w32
