cycle,instructions,LLC-load-misses,hostname
1192900002,600965971,289548,kb-w41
1101703573,970514321,171429,kb-w41
722931159,395284055,206071,kb-w41
475974902,216724361,168990,kb-w41
635066638,467828957,146928,kb-w41
298407244,207917619,1760956,kb-w41
747087359,768265474,247946,kb-w41
621889476,480967189,119196,kb-w41
469701012,491700777,116378,kb-w41
445114242,235420075,225671,kb-w41
607849231,659952309,124225,kb-w41
464430076,407494660,209276,kb-w41
855907569,583793278,181990,kb-w41
629660413,284620703,210331,kb-w41
681030379,637928341,164464,kb-w41
406422911,250003477,179645,kb-w41
710006880,634168829,154320,kb-w41
501403451,617067382,97237,kb-w41
280076928,220844397,155773,kb-w41
373197570,555845176,1491410,kb-w41
569990290,359625700,126781,kb-w41
428432093,368133220,109262,kb-w41
453845561,196963903,193201,kb-w41
621952547,561914645,149687,kb-w41
802697606,404380014,248537,kb-w41
832523148,442676707,193659,kb-w41
513998554,316784981,126799,kb-w41
545426116,340583814,134895,kb-w41
527797128,252712638,217721,kb-w41
630767793,494734372,181986,kb-w41
632796394,455684771,216542,kb-w41
537209044,318691474,1186182,kb-w41
845163242,697716759,90188,kb-w41
966859965,976679369,576108,kb-w41
542279938,453541732,133913,kb-w41
423070062,138879983,130847,kb-w41
818384031,377636728,325632,kb-w41
596105593,506220307,222566,kb-w41
1241477772,1161348984,218198,kb-w41
581888844,253516637,188515,kb-w41
632378418,290170872,176987,kb-w41
567964947,238471704,247993,kb-w41
654726391,283769850,214490,kb-w41
723318645,607618665,172432,kb-w41
661560787,310259724,188445,kb-w41
523334545,433945849,671476,kb-w41
550462196,591225529,115694,kb-w41
757711448,649235943,167935,kb-w41
689304274,631812994,130710,kb-w41
770623494,736135851,125860,kb-w41
790048373,558778800,175263,kb-w41
507266611,296643343,135408,kb-w41
665358452,544458067,225541,kb-w41
247560304,134840427,113382,kb-w41
580299712,324213087,197979,kb-w41
590356718,339847907,279284,kb-w41
640462173,394477684,267771,kb-w41
627131260,339449891,307035,kb-w41
639419596,490650651,173033,kb-w41
696302773,513096040,1240064,kb-w41
