cycle,instructions,LLC-load-misses,hostname
560226230,254776606,354272,kb-w14
517140299,338011433,278446,kb-w14
670695927,299715848,360688,kb-w14
543587656,306373955,309920,kb-w14
545012302,296150551,253843,kb-w14
329623857,330743357,313283,kb-w14
387986037,286862397,337171,kb-w14
755702913,779338807,127753,kb-w14
571314986,453268876,243248,kb-w14
608801690,651704718,136082,kb-w14
489935745,294234417,231879,kb-w14
660504626,423865598,305003,kb-w14
513382739,282356410,296241,kb-w14
862715288,836032088,637700,kb-w14
429377274,284176802,284777,kb-w14
609741162,323156651,924464,kb-w14
441176176,449274395,105442,kb-w14
574103241,314209963,287685,kb-w14
444728622,249590359,380343,kb-w14
459591594,221244913,210894,kb-w14
429306610,215602036,256829,kb-w14
455952673,293343965,140583,kb-w14
438460746,294831476,187858,kb-w14
639445701,618286471,175804,kb-w14
617265774,476433259,228557,kb-w14
580691504,592242865,435854,kb-w14
663754084,591875644,311739,kb-w14
530251382,318676841,345720,kb-w14
417365601,425573628,152454,kb-w14
523923788,328461480,268820,kb-w14
391107937,212378398,274650,kb-w14
572364517,290007377,313044,kb-w14
592458970,616525260,174716,kb-w14
631299615,461273049,262534,kb-w14
408851295,261628645,350785,kb-w14
544286494,302446897,311088,kb-w14
520548419,304665014,303911,kb-w14
476572263,349560350,202481,kb-w14
521401140,388197136,194339,kb-w14
592549840,493571107,214826,kb-w14
402930540,220601580,234193,kb-w14
661286659,461323626,125649,kb-w14
466530268,415622945,226854,kb-w14
734119349,436411680,375954,kb-w14
386675595,226839293,211740,kb-w14
632526822,373771591,278870,kb-w14
464512105,304150513,285938,kb-w14
590375691,329630446,280505,kb-w14
565023808,594856041,151477,kb-w14
598205700,672995513,291130,kb-w14
407708041,341127054,151775,kb-w14
575293796,380337504,701112,kb-w14
578617360,283730381,318729,kb-w14
669352019,484198404,381698,kb-w14
428432274,272987395,187635,kb-w14
441071002,257915549,228001,kb-w14
466030948,305087288,168518,kb-w14
516330820,464802237,157315,kb-w14
358858489,211912068,161885,kb-w14
597838942,317897239,284829,kb-w14
