cycle,instructions,LLC-load-misses,hostname
743177964,286220123,239335,kb-w31
429851335,337450945,121779,kb-w31
541035047,469162066,186782,kb-w31
343490510,191772254,142696,kb-w31
535388056,415975850,163409,kb-w31
359052705,201031910,124836,kb-w31
534990530,273672793,88785,kb-w31
385255131,352164258,44501,kb-w31
455014616,593404147,57033,kb-w31
204760054,128143019,36434,kb-w31
587524610,272303863,216695,kb-w31
321740647,322595212,92226,kb-w31
555155979,274978531,122587,kb-w31
408821008,256635459,92099,kb-w31
582446158,289818931,153841,kb-w31
299767094,184325448,73361,kb-w31
616268078,611250146,91913,kb-w31
369412660,177429084,93376,kb-w31
554312747,393999377,62351,kb-w31
370984023,323553024,48072,kb-w31
680586398,762913645,77520,kb-w31
328915979,196026078,84382,kb-w31
503917301,603380433,52486,kb-w31
437649608,174929517,143580,kb-w31
655334894,474600546,129263,kb-w31
404090323,347292626,90888,kb-w31
654867030,559258897,86776,kb-w31
234346447,128853926,60431,kb-w31
329703814,262664788,97340,kb-w31
334638170,148683093,112200,kb-w31
604832035,469221072,178045,kb-w31
390965816,196771430,87596,kb-w31
577099474,499589644,82930,kb-w31
500256953,556103477,41797,kb-w31
386648862,457219193,43666,kb-w31
194210378,357479379,88893,kb-w31
540628243,367705981,221896,kb-w31
375961561,182003197,111306,kb-w31
455336449,381069587,73272,kb-w31
364361809,226977081,96602,kb-w31
534986737,453889571,96051,kb-w31
386335795,214563914,86347,kb-w31
563824674,472052534,1718389,kb-w31
473560703,368316239,462443,kb-w31
1010748873,851192564,885328,kb-w31
417907922,336415437,130620,kb-w31
714503512,647272561,75440,kb-w31
443415153,284129617,96008,kb-w31
746394478,888805097,74431,kb-w31
352076657,177048282,166352,kb-w31
727018248,345788829,181160,kb-w31
365858293,245108534,158501,kb-w31
642151692,607244526,195901,kb-w31
314117555,225212172,95914,kb-w31
312605577,268344392,89030,kb-w31
486925331,586620875,92937,kb-w31
679182103,317035761,195419,kb-w31
350975269,174204421,102299,kb-w31
713215227,671004896,112190,kb-w31
509640885,434978897,142074,kb-w31
