cycle,instructions,LLC-load-misses,hostname
504185096,326764891,85197,kb-w34
630048726,698910522,148846,kb-w34
312948482,155300744,107728,kb-w34
427431125,231216559,107394,kb-w34
314000107,243797131,106165,kb-w34
441483957,434289561,87150,kb-w34
362341489,155880921,86879,kb-w34
235162963,351426319,130838,kb-w34
382723397,373381578,61493,kb-w34
507602600,246099187,260583,kb-w34
352882484,292158385,105167,kb-w34
534522430,670180698,81487,kb-w34
323519393,165808635,161400,kb-w34
445790174,465301631,256189,kb-w34
279042886,201820052,72870,kb-w34
450252089,327968951,89034,kb-w34
360637241,185264392,82228,kb-w34
553321614,608979541,53890,kb-w34
426515706,339326573,113080,kb-w34
476723192,211281952,399866,kb-w34
393613096,212468359,125492,kb-w34
460528324,276089447,299828,kb-w34
354951291,206478488,166128,kb-w34
455560049,393722490,154279,kb-w34
255951009,159090078,63698,kb-w34
438532033,388089093,112192,kb-w34
238144255,216273418,46633,kb-w34
649013399,683486846,105346,kb-w34
284749426,168664189,79858,kb-w34
467766366,397816755,114067,kb-w34
321517644,212719785,86855,kb-w34
465872707,533123719,27349,kb-w34
349927217,332156497,82063,kb-w34
462357229,207413243,133420,kb-w34
343617710,230754057,127182,kb-w34
567795730,461030989,152584,kb-w34
391989142,394551907,73556,kb-w34
572277814,631141022,49382,kb-w34
288188935,238326860,91605,kb-w34
592152597,544475283,209712,kb-w34
268630904,166258927,124405,kb-w34
534853632,265459310,153091,kb-w34
302758658,165463827,104362,kb-w34
365594816,411333288,29711,kb-w34
357963221,372837477,97134,kb-w34
403848025,300269558,110771,kb-w34
318089036,309228228,105464,kb-w34
505351172,534729679,907516,kb-w34
908094124,908632075,2370211,kb-w34
940134651,916683097,488656,kb-w34
338361721,181081314,100505,kb-w34
437213363,252177867,112994,kb-w34
209840515,240039163,34118,kb-w34
524018491,324951019,192414,kb-w34
478581317,356171667,172828,kb-w34
682878899,682412569,99992,kb-w34
340317365,195742423,72487,kb-w34
509208082,556157129,91673,kb-w34
364874600,406802790,101602,kb-w34
505202714,632251639,105822,kb-w34
