cycle,instructions,LLC-load-misses,hostname
838610089,338940673,768664,kb-w12
482473319,300077694,380148,kb-w12
1066452713,754661373,1260383,kb-w12
479846161,308196043,315272,kb-w12
565762045,330811761,323985,kb-w12
401621136,159153424,243118,kb-w12
542780314,247890327,407210,kb-w12
392033144,356510517,106672,kb-w12
543539739,513323807,266225,kb-w12
194830033,121672669,179279,kb-w12
562947722,592733552,60705,kb-w12
397154477,195939055,270140,kb-w12
1003262839,947790094,370229,kb-w12
576618615,405145659,616557,kb-w12
546755583,513386081,177566,kb-w12
515247094,263569077,270081,kb-w12
523557439,383814352,308126,kb-w12
342617490,392868578,141548,kb-w12
626733344,623768595,181355,kb-w12
333456447,187598851,172002,kb-w12
440842217,209100181,415295,kb-w12
320511324,178800473,171997,kb-w12
481488224,286991313,329456,kb-w12
517635195,176042667,240961,kb-w12
777968127,386145605,282842,kb-w12
359765894,220903626,325810,kb-w12
579842906,572924374,137258,kb-w12
437220874,271588016,552327,kb-w12
557981985,656434416,134566,kb-w12
367917689,147275939,307712,kb-w12
509210871,362313943,190764,kb-w12
469715333,335843108,313627,kb-w12
416888561,195331091,217149,kb-w12
791265777,733269474,811867,kb-w12
661449647,432935231,388818,kb-w12
392978635,229502808,374023,kb-w12
596305961,323192367,375008,kb-w12
465188494,195461889,263987,kb-w12
760653278,500027467,353426,kb-w12
390801114,203401510,382084,kb-w12
644614102,329221910,527472,kb-w12
742015447,752233941,269686,kb-w12
541329008,557161376,220321,kb-w12
466916318,312040712,250448,kb-w12
622790269,756143556,151844,kb-w12
424779724,219195743,214637,kb-w12
650468727,314259172,116665,kb-w12
499320932,441477719,148363,kb-w12
736897189,676413223,318461,kb-w12
403441969,267447668,221899,kb-w12
807083111,659507655,431032,kb-w12
554518019,321209222,184250,kb-w12
506693182,256265958,290086,kb-w12
589246066,709153793,1483000,kb-w12
638483524,358165134,318769,kb-w12
398640433,187348911,318567,kb-w12
563338341,257202131,364362,kb-w12
333248841,238834545,130422,kb-w12
555532716,524480017,161586,kb-w12
444083926,205380404,244215,kb-w12
