cycle,instructions,LLC-load-misses,hostname
371510626,187514498,142789,kb-w42
1263870004,1165554932,1415674,kb-w42
421438574,228427115,203597,kb-w42
471373246,255219217,133622,kb-w42
458595155,308384330,381265,kb-w42
599667011,333992429,353338,kb-w42
272849774,179264187,87891,kb-w42
492054710,205901286,183280,kb-w42
354465117,343936360,92871,kb-w42
481018970,523319869,85953,kb-w42
324766877,230042572,111080,kb-w42
490334578,488704945,103012,kb-w42
348120060,279951812,571387,kb-w42
552594612,460169550,164950,kb-w42
452294248,458935780,171383,kb-w42
577692721,481844665,313520,kb-w42
190204170,131123523,75130,kb-w42
467302113,508706465,107747,kb-w42
424330982,407033344,78984,kb-w42
473080279,239829802,1183001,kb-w42
395148616,249618532,94820,kb-w42
725863486,559084968,299566,kb-w42
429014079,307060530,89339,kb-w42
592276611,508207701,186840,kb-w42
421371225,345077760,94298,kb-w42
523551582,595843395,64151,kb-w42
703241045,639055489,690666,kb-w42
404697072,432834688,176851,kb-w42
319537520,289494104,135902,kb-w42
628293459,282649932,210837,kb-w42
502902143,438951215,123237,kb-w42
457072125,354805199,394058,kb-w42
272411365,249521567,73236,kb-w42
696173455,446533407,315689,kb-w42
299453649,179854730,98473,kb-w42
539968303,305566596,263257,kb-w42
340319664,218191814,203426,kb-w42
529423965,442694415,173257,kb-w42
359134813,491662672,734029,kb-w42
631010542,288797598,182767,kb-w42
824967734,631047727,302754,kb-w42
652272950,734117129,150520,kb-w42
426692263,209504064,183770,kb-w42
491621911,225500427,139093,kb-w42
205293753,159389672,44892,kb-w42
454109473,239247119,215015,kb-w42
417028357,460698982,52734,kb-w42
446541898,370562743,94001,kb-w42
329838876,349868989,99523,kb-w42
485434954,497081289,221425,kb-w42
466013278,331189296,110078,kb-w42
623427815,447453629,193647,kb-w42
432742488,374557531,172703,kb-w42
606431583,305459257,221164,kb-w42
317769538,250580281,120246,kb-w42
626488695,279402045,193616,kb-w42
392278233,201513612,230837,kb-w42
487289844,599934018,74788,kb-w42
345521079,169598154,105273,kb-w42
540665975,266553656,1522255,kb-w42
