"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/cart/add/anonymous-34342/RD-10/1",2,0,110,246,114,378,116,0.01
"GET","/api/cart/add/anonymous-34343/EVE-1/1",1,0,24,24,24,24,113,0.00
"GET","/api/cart/add/anonymous-34343/RD-10/1",1,0,49,49,49,49,167,0.00
"GET","/api/cart/add/anonymous-34344/HAL-1/1",1,0,45,45,45,45,102,0.00
"GET","/api/cart/add/anonymous-34344/ROB-1/1",1,0,390,394,394,394,171,0.00
"GET","/api/cart/add/anonymous-34345/HAL-1/1",2,0,36,200,36,363,101,0.01
"GET","/api/cart/add/anonymous-34346/C3P0/1",1,0,400,403,403,403,112,0.00
"GET","/api/cart/add/anonymous-34346/R2D2/1",1,0,84,84,84,84,164,0.00
"GET","/api/cart/add/anonymous-34347/HAL-1/1",2,0,70,285,70,500,101,0.01
"GET","/api/cart/add/anonymous-34348/C3P0/1",1,0,360,363,363,363,112,0.00
"GET","/api/cart/add/anonymous-34348/EVE-1/1",1,0,99,99,99,99,164,0.00
"GET","/api/cart/add/anonymous-34349/RD-10/1",1,0,53,53,53,53,164,0.00
"GET","/api/cart/add/anonymous-34349/STAN-1/1",1,0,520,518,518,518,110,0.00
"GET","/api/cart/add/anonymous-34350/HAL-1/1",1,0,23,23,23,23,102,0.00
"GET","/api/cart/add/anonymous-34350/HHGTTG/1",1,0,28,28,28,28,168,0.00
"GET","/api/cart/add/anonymous-34351/EVE-1/1",1,0,68,68,68,68,180,0.00
"GET","/api/cart/add/anonymous-34351/R2D2/1",1,0,490,490,490,490,115,0.00
"GET","/api/cart/add/anonymous-34352/R2D2/1",1,0,60,60,60,60,167,0.00
"GET","/api/cart/add/anonymous-34352/RD-10/1",1,0,460,455,455,455,115,0.00
"GET","/api/cart/add/anonymous-34353/HHGTTG/1",1,0,140,144,144,144,177,0.00
"GET","/api/cart/add/anonymous-34353/STAN-1/1",1,0,430,433,433,433,110,0.00
"GET","/api/cart/add/anonymous-34354/K9/1",1,0,25,25,25,25,92,0.00
"GET","/api/cart/add/anonymous-34354/STAN-1/1",1,0,750,748,748,748,172,0.00
