cycle,instructions,LLC-load-misses,hostname
414729106,249538279,209506,kb-w44
568722748,628142104,158660,kb-w44
501475629,467335582,213228,kb-w44
478137653,220392046,251589,kb-w44
378551693,381131719,145715,kb-w44
582104221,608439416,414264,kb-w44
449996702,252402805,135213,kb-w44
1271581585,1098062982,1063650,kb-w44
480117001,411546854,279626,kb-w44
435355213,538683006,59170,kb-w44
258304525,145867070,117710,kb-w44
494710477,390737707,181016,kb-w44
403884656,164010398,149850,kb-w44
170809081,344308656,121236,kb-w44
286518684,184898401,105732,kb-w44
425198836,311538502,185154,kb-w44
270723173,155193287,161345,kb-w44
581831833,318416551,112032,kb-w44
262790061,186536216,98094,kb-w44
475148323,241219373,1509567,kb-w44
237710814,164548353,150342,kb-w44
662144759,635068470,157410,kb-w44
315183488,187964694,225267,kb-w44
482774423,330647111,139293,kb-w44
351415859,273314922,184439,kb-w44
596175933,572676879,93652,kb-w44
271405489,159433701,109014,kb-w44
564526955,584023405,275425,kb-w44
314713775,202581296,228400,kb-w44
438515635,130726788,272107,kb-w44
441769587,338257574,230880,kb-w44
507627691,255962631,427192,kb-w44
313914726,266668594,63711,kb-w44
329726799,713094323,1273697,kb-w44
413145585,410347667,134951,kb-w44
895799884,477308111,342158,kb-w44
288825788,298463519,171044,kb-w44
599379992,594408754,141508,kb-w44
355453989,183350242,97411,kb-w44
395938642,206197863,207701,kb-w44
518976378,215585858,143734,kb-w44
525032115,671240416,96821,kb-w44
434480218,225297593,127788,kb-w44
562532761,632416967,167606,kb-w44
399970919,301826462,101596,kb-w44
255501589,127041222,86843,kb-w44
372397636,337006338,76215,kb-w44
897458185,718625811,1924356,kb-w44
241175764,181386557,88792,kb-w44
498390716,183212531,142961,kb-w44
340857090,182669215,166830,kb-w44
657991281,422105224,152512,kb-w44
238259903,166366758,80672,kb-w44
486890799,571024498,119735,kb-w44
335800943,178200368,136201,kb-w44
678270878,654079006,328023,kb-w44
435180176,428628124,68663,kb-w44
441532471,472899588,75680,kb-w44
331325559,197998647,90221,kb-w44
453455288,232259251,1783335,kb-w44
