"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/cart/add/anonymous-34337/EVE-1/1",1,380,380,380,380,380,380,380,380,380
"GET /api/cart/add/anonymous-34337/STAN-1/1",1,91,91,91,91,91,91,91,91,91
"GET /api/cart/add/anonymous-34338/K9/1",1,140,140,140,140,140,140,140,140,140
"GET /api/cart/add/anonymous-34338/RD-10/1",1,370,370,370,370,370,370,370,370,370
"GET /api/cart/add/anonymous-34339/R2D2/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34339/RD-10/1",1,77,77,77,77,77,77,77,77,77
"GET /api/cart/add/anonymous-34340/HHGTTG/1",1,370,370,370,370,370,370,370,370,370
"GET /api/cart/add/anonymous-34340/R2D2/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34341/HHGTTG/1",1,25,25,25,25,25,25,25,25,25
"GET /api/cart/add/anonymous-34341/ROB-1/1",1,320,320,320,320,320,320,320,320,320
"GET /api/cart/add/anonymous-34342/RD-10/1",2,380,380,380,380,380,380,380,380,380
"GET /api/cart/add/anonymous-34343/EVE-1/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34343/RD-10/1",1,49,49,49,49,49,49,49,49,49
"GET /api/cart/add/anonymous-34344/HAL-1/1",1,45,45,45,45,45,45,45,45,45
"GET /api/cart/add/anonymous-34344/ROB-1/1",1,390,390,390,390,390,390,390,390,390
"GET /api/cart/add/anonymous-34345/HAL-1/1",2,360,360,360,360,360,360,360,360,360
"GET /api/cart/add/anonymous-34346/C3P0/1",1,400,400,400,400,400,400,400,400,400
"GET /api/cart/add/anonymous-34346/R2D2/1",1,84,84,84,84,84,84,84,84,84
"GET /api/cart/add/anonymous-34347/HAL-1/1",2,500,500,500,500,500,500,500,500,500
"GET /api/cart/add/anonymous-34348/C3P0/1",1,360,360,360,360,360,360,360,360,360
"GET /api/cart/add/anonymous-34348/EVE-1/1",1,99,99,99,99,99,99,99,99,99
"GET /api/cart/add/anonymous-34349/RD-10/1",1,53,53,53,53,53,53,53,53,53
"GET /api/cart/add/anonymous-34349/STAN-1/1",1,520,520,520,520,520,520,520,520,520
"GET /api/cart/add/anonymous-34350/HAL-1/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34350/HHGTTG/1",1,28,28,28,28,28,28,28,28,28
"GET /api/cart/add/anonymous-34351/EVE-1/1",1,68,68,68,68,68,68,68,68,68
"GET /api/cart/add/anonymous-34351/R2D2/1",1,490,490,490,490,490,490,490,490,490
"GET /api/cart/add/anonymous-34352/R2D2/1",1,60,60,60,60,60,60,60,60,60
"GET /api/cart/add/anonymous-34352/RD-10/1",1,460,460,460,460,460,460,460,460,460
"GET /api/cart/add/anonymous-34353/HHGTTG/1",1,140,140,140,140,140,140,140,140,140
"GET /api/cart/add/anonymous-34353/STAN-1/1",1,430,430,430,430,430,430,430,430,430
"GET /api/cart/add/anonymous-34354/K9/1",1,25,25,25,25,25,25,25,25,25
"GET /api/cart/add/anonymous-34354/STAN-1/1",1,750,750,750,750,750,750,750,750,750
"GET /api/cart/add/anonymous-34355/R2D2/1",1,95,95,95,95,95,95,95,95,95
"GET /api/cart/add/anonymous-34355/RD-10/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34356/HAL-1/1",1,37,37,37,37,37,37,37,37,37
"GET /api/cart/add/anonymous-34356/HHGTTG/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34357/HHGTTG/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34357/STAN-1/1",1,450,450,450,450,450,450,450,450,450
"GET /api/cart/add/anonymous-34358/K9/1",1,100,100,100,100,100,100,100,100,100
"GET /api/cart/add/anonymous-34358/RD-10/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34359/RD-10/1",2,84,84,84,84,84,84,84,84,84
