cycle,instructions,LLC-load-misses,hostname
2512354075,1822932014,2827624,kb-w21
3673756023,3026794683,3861887,kb-w21
3801207208,2736713971,3944700,kb-w21
630694547,300883417,1962656,kb-w21
1207022213,665604369,2297530,kb-w21
3759658869,2158717928,2916453,kb-w21
2090760370,1670507173,3917154,kb-w21
2149233520,1186460489,2212001,kb-w21
289287535,76881008,899872,kb-w21
373405035,63566513,938055,kb-w21
3245504893,2667960844,3777425,kb-w21
971055799,726572011,1623892,kb-w21
3248165648,1725668758,3590646,kb-w21
1333702033,781729091,2036474,kb-w21
1460509924,710480724,1856893,kb-w21
1281286226,360040067,1728712,kb-w21
603626589,235495083,1221454,kb-w21
317306160,79246384,938176,kb-w21
629103057,287282458,1009602,kb-w21
841522933,382083670,996924,kb-w21
526397050,75147011,978503,kb-w21
601965891,280861845,1250668,kb-w21
646668894,389837155,1211584,kb-w21
719437692,399326970,1275955,kb-w21
349898953,71931464,946477,kb-w21
1124693279,240601357,1480117,kb-w21
1951682158,863416392,2539580,kb-w21
1609351965,1094777386,2386978,kb-w21
6697912414,4608053455,7119639,kb-w21
6257832268,3122899394,4168507,kb-w21
1270731569,1097568535,3786417,kb-w21
4087795011,3268952886,4655502,kb-w21
1540672368,606124821,2360938,kb-w21
868020229,147789511,1400924,kb-w21
240848062,79780122,945884,kb-w21
382506748,89725664,863735,kb-w21
262383184,95437280,615866,kb-w21
771525563,293272429,1357722,kb-w21
307868763,106413764,840702,kb-w21
228583468,51418429,717348,kb-w21
4408998106,3582785968,3356448,kb-w21
236748596,58544514,894035,kb-w21
726751470,114884073,1110001,kb-w21
1472061923,575043848,1542201,kb-w21
396837979,298857543,1012100,kb-w21
217815798,57507963,693755,kb-w21
298798875,88073510,986765,kb-w21
275864173,71243310,2770100,kb-w21
427428581,2660439251,8940177,kb-w21
7815075715,7688923991,10532349,kb-w21
7096112858,3514706320,5312320,kb-w21
3305575343,2672074321,3634434,kb-w21
6232572561,4963370245,6207164,kb-w21
3161019287,1911394066,3468156,kb-w21
5231831591,3241817490,5147481,kb-w21
766316369,247968596,1296082,kb-w21
2102974585,1398178677,2432953,kb-w21
3689198091,2425843329,3778465,kb-w21
756975551,568335630,1412755,kb-w21
1663785670,1233931401,2976414,kb-w21
